period,AEP
2023-01-23 14:00:00,17467
2023-01-23 15:00:00,17454
2023-01-23 16:00:00,17437
2023-01-23 17:00:00,17392
2023-01-23 18:00:00,17476
2023-01-23 19:00:00,17413
2023-01-23 20:00:00,17332
2023-01-23 21:00:00,17233
2023-01-23 22:00:00,17351
2023-01-23 23:00:00,17627
2023-01-24 00:00:00,17916
2023-01-24 01:00:00,17668
2023-01-24 02:00:00,17563
2023-01-24 03:00:00,17207
2023-01-24 04:00:00,16598
2023-01-24 05:00:00,16065
2023-01-24 06:00:00,15678
2023-01-24 07:00:00,15580
2023-01-24 08:00:00,15570
2023-01-24 09:00:00,15691
2023-01-24 10:00:00,15996
2023-01-24 11:00:00,16718
2023-01-24 12:00:00,17852
2023-01-24 13:00:00,18535
2023-01-24 14:00:00,18340
2023-01-24 15:00:00,17841
2023-01-24 16:00:00,17322
2023-01-24 17:00:00,16755
2023-01-24 18:00:00,16301
2023-01-24 19:00:00,15926
2023-01-24 20:00:00,15530
2023-01-24 21:00:00,15357
2023-01-24 22:00:00,15457
2023-01-24 23:00:00,16103
2023-01-25 00:00:00,16800
2023-01-25 01:00:00,16870
2023-01-25 02:00:00,16797
2023-01-25 03:00:00,16527
2023-01-25 04:00:00,15892
2023-01-25 05:00:00,15291
2023-01-25 06:00:00,14771
2023-01-25 07:00:00,14552
2023-01-25 08:00:00,14454
2023-01-25 09:00:00,14449
2023-01-25 10:00:00,14749
2023-01-25 11:00:00,15448
2023-01-25 12:00:00,16360
2023-01-25 13:00:00,17068
2023-01-25 14:00:00,17282
2023-01-25 15:00:00,17239
2023-01-25 16:00:00,17141
2023-01-25 17:00:00,16931
2023-01-25 18:00:00,16647
2023-01-25 19:00:00,16370
2023-01-25 20:00:00,16001
2023-01-25 21:00:00,15756
2023-01-25 22:00:00,15906
2023-01-25 23:00:00,16248
2023-01-26 00:00:00,16501
2023-01-26 01:00:00,16397
2023-01-26 02:00:00,16160
2023-01-26 03:00:00,15904
2023-01-26 04:00:00,15319
2023-01-26 05:00:00,14845
2023-01-26 06:00:00,14548
2023-01-26 07:00:00,14341
2023-01-26 08:00:00,14342
2023-01-26 09:00:00,14352
2023-01-26 10:00:00,14714
2023-01-26 11:00:00,15375
2023-01-26 12:00:00,16502
2023-01-26 13:00:00,17164
2023-01-26 14:00:00,17244
2023-01-26 15:00:00,17249
2023-01-26 16:00:00,17297
2023-01-26 17:00:00,17202
2023-01-26 18:00:00,17062
2023-01-26 19:00:00,17018
2023-01-26 20:00:00,16878
2023-01-26 21:00:00,16846
2023-01-26 22:00:00,16968
2023-01-26 23:00:00,17402
2023-01-27 00:00:00,17798
2023-01-27 01:00:00,17685
2023-01-27 02:00:00,17493
2023-01-27 03:00:00,17082
2023-01-27 04:00:00,16413
2023-01-27 05:00:00,15818
2023-01-27 06:00:00,15450
2023-01-27 07:00:00,15278
2023-01-27 08:00:00,15257
2023-01-27 09:00:00,15293
2023-01-27 10:00:00,15595
2023-01-27 11:00:00,16221
2023-01-27 12:00:00,17262
2023-01-27 13:00:00,17983
2023-01-27 14:00:00,18039
2023-01-27 15:00:00,17780
2023-01-27 16:00:00,17431
2023-01-27 17:00:00,17043
2023-01-27 18:00:00,16670
