period,AP
2018-07-01 05:00:00,4384
2018-07-01 06:00:00,4391
2018-07-01 07:00:00,4757
2018-07-01 08:00:00,5308
2018-07-01 09:00:00,5862
2018-07-01 10:00:00,6364
2018-07-01 11:00:00,6839
2018-07-01 12:00:00,7250
2018-07-01 13:00:00,7522
2018-07-01 14:00:00,7700
2018-07-01 15:00:00,7870
2018-07-01 16:00:00,8022
2018-07-01 17:00:00,8127
2018-07-01 18:00:00,8055
2018-07-01 19:00:00,7844
2018-07-01 20:00:00,7550
2018-07-01 21:00:00,7310
2018-07-01 22:00:00,6773
2018-07-01 23:00:00,6178
2018-07-02 00:00:00,5710
2018-07-02 01:00:00,5382
2018-07-02 02:00:00,5203
2018-07-02 03:00:00,5056
2018-07-02 04:00:00,5018
2018-07-02 05:00:00,4384
2018-07-02 06:00:00,4391
2018-07-02 07:00:00,4757
2018-07-02 08:00:00,5308
2018-07-02 09:00:00,5862
2018-07-02 10:00:00,6364
2018-07-02 11:00:00,6839
2018-07-02 12:00:00,7250
2018-07-02 13:00:00,7522
2018-07-02 14:00:00,7700
2018-07-02 15:00:00,7870
2018-07-02 16:00:00,8022
2018-07-02 17:00:00,8127
2018-07-02 18:00:00,8055
2018-07-02 19:00:00,7844
2018-07-02 20:00:00,7550
2018-07-02 21:00:00,7310
2018-07-02 22:00:00,6773
2018-07-02 23:00:00,6178
2018-07-03 00:00:00,5710
2018-07-03 01:00:00,5382
2018-07-03 02:00:00,5203
2018-07-03 03:00:00,5056
2018-07-03 04:00:00,5018
2018-07-03 05:00:00,4418
2018-07-03 06:00:00,4384
2018-07-03 07:00:00,4391
2018-07-03 08:00:00,4757
2018-07-03 09:00:00,5308
2018-07-03 10:00:00,5862
2018-07-03 11:00:00,6364
2018-07-03 12:00:00,6839
2018-07-03 13:00:00,7250
2018-07-03 14:00:00,7522
2018-07-03 15:00:00,7700
2018-07-03 16:00:00,7870
2018-07-03 17:00:00,8022
2018-07-03 18:00:00,8127
2018-07-03 19:00:00,8055
2018-07-03 20:00:00,7844
2018-07-03 21:00:00,7550
2018-07-03 22:00:00,7310
2018-07-03 23:00:00,6773
2018-07-04 00:00:00,6178
2018-07-04 01:00:00,5710
2018-07-04 02:00:00,5382
2018-07-04 03:00:00,5203
2018-07-04 04:00:00,5056
2018-07-04 05:00:00,5054
2018-07-04 06:00:00,5015
2018-07-04 07:00:00,5010
2018-07-04 08:00:00,5221
2018-07-04 09:00:00,5795
2018-07-04 10:00:00,6457
2018-07-04 11:00:00,7073
2018-07-04 12:00:00,7577
2018-07-04 13:00:00,7871
2018-07-04 14:00:00,7997
2018-07-04 15:00:00,7988
2018-07-04 16:00:00,7849
2018-07-04 17:00:00,7780
2018-07-04 18:00:00,7652
2018-07-04 19:00:00,7398
2018-07-04 20:00:00,7108
2018-07-04 21:00:00,6821
2018-07-04 22:00:00,6591
2018-07-04 23:00:00,6327
2018-07-05 00:00:00,5951
2018-07-05 01:00:00,5583
2018-07-05 02:00:00,5236
2018-07-05 03:00:00,5072
2018-07-05 04:00:00,4925
2018-07-05 05:00:00,4960
2018-07-05 06:00:00,5118
2018-07-05 07:00:00,5371
2018-07-05 08:00:00,5700
2018-07-05 09:00:00,5988
2018-07-05 10:00:00,6388
2018-07-05 11:00:00,6762
2018-07-05 12:00:00,7206
2018-07-05 13:00:00,7492
2018-07-05 14:00:00,7694
2018-07-05 15:00:00,7872
2018-07-05 16:00:00,8011
2018-07-05 17:00:00,8029
2018-07-05 18:00:00,7886
2018-07-05 19:00:00,7591
2018-07-05 20:00:00,7213
2018-07-05 21:00:00,7028
2018-07-05 22:00:00,6888
2018-07-05 23:00:00,6434
2018-07-06 00:00:00,5931
2018-07-06 01:00:00,5489
2018-07-06 02:00:00,5245
2018-07-06 03:00:00,5092
2018-07-06 04:00:00,5088
2018-07-06 05:00:00,5118
2018-07-06 06:00:00,5247
2018-07-06 07:00:00,5494
2018-07-06 08:00:00,5807
2018-07-06 09:00:00,6001
2018-07-06 10:00:00,6161
2018-07-06 11:00:00,6320
2018-07-06 12:00:00,6412
2018-07-06 13:00:00,6630
2018-07-06 14:00:00,6772
2018-07-06 15:00:00,6949
2018-07-06 16:00:00,7116
2018-07-06 17:00:00,7196
2018-07-06 18:00:00,7240
2018-07-06 19:00:00,7047
2018-07-06 20:00:00,6697
2018-07-06 21:00:00,6324
2018-07-06 22:00:00,6093
2018-07-06 23:00:00,5671
2018-07-07 00:00:00,5182
2018-07-07 01:00:00,4759
2018-07-07 02:00:00,4484
2018-07-07 03:00:00,4329
2018-07-07 04:00:00,4147
2018-07-07 05:00:00,4081
2018-07-07 06:00:00,4122
2018-07-07 07:00:00,4181
2018-07-07 08:00:00,4421
2018-07-07 09:00:00,4716
2018-07-07 10:00:00,4981
2018-07-07 11:00:00,5152
2018-07-07 12:00:00,5318
2018-07-07 13:00:00,5448
2018-07-07 14:00:00,5578
2018-07-07 15:00:00,5726
2018-07-07 16:00:00,5909
2018-07-07 17:00:00,6109
2018-07-07 18:00:00,6230
2018-07-07 19:00:00,6144
2018-07-07 20:00:00,6009
2018-07-07 21:00:00,5704
2018-07-07 22:00:00,5511
2018-07-07 23:00:00,5174
2018-07-08 00:00:00,4794
2018-07-08 01:00:00,4442
2018-07-08 02:00:00,4206
2018-07-08 03:00:00,4053
2018-07-08 04:00:00,3894
2018-07-08 05:00:00,3888
2018-07-08 06:00:00,3934
2018-07-08 07:00:00,3922
2018-07-08 08:00:00,4134
2018-07-08 09:00:00,4359
2018-07-08 10:00:00,4726
2018-07-08 11:00:00,5001
2018-07-08 12:00:00,5235
2018-07-08 13:00:00,5456
2018-07-08 14:00:00,5696
2018-07-08 15:00:00,5845
2018-07-08 16:00:00,6181
2018-07-08 17:00:00,6449
2018-07-08 18:00:00,6671
2018-07-08 19:00:00,6750
2018-07-08 20:00:00,6515
2018-07-08 21:00:00,6244
2018-07-08 22:00:00,6056
2018-07-08 23:00:00,5576
2018-07-09 00:00:00,5072
2018-07-09 01:00:00,4666
2018-07-09 02:00:00,4428
2018-07-09 03:00:00,4299
2018-07-09 04:00:00,4327
2018-09-18 05:00:00,5128
2018-09-18 06:00:00,4970
2018-09-18 07:00:00,4865
2018-09-18 08:00:00,4748
2018-09-18 09:00:00,4870
2018-09-18 10:00:00,5109
2018-09-18 11:00:00,5531
2018-09-18 12:00:00,5832
2018-09-18 13:00:00,5926
2018-09-18 14:00:00,6007
2018-09-18 15:00:00,6094
2018-09-18 16:00:00,6297
2018-09-18 17:00:00,6426
2018-09-18 18:00:00,6655
2018-09-18 19:00:00,6945
2018-09-18 20:00:00,7142
2018-09-18 21:00:00,7346
2018-09-18 22:00:00,7382
2018-09-18 23:00:00,7285
2018-09-19 00:00:00,7167
2018-09-19 01:00:00,7029
2018-09-19 02:00:00,6503
2018-09-19 03:00:00,5959
