period,ATSI
2023-01-23 14:00:00,8746
2023-01-23 15:00:00,8859
2023-01-23 16:00:00,8895
2023-01-23 17:00:00,8912
2023-01-23 18:00:00,8918
2023-01-23 19:00:00,8934
2023-01-23 20:00:00,8828
2023-01-23 21:00:00,8816
2023-01-23 22:00:00,8712
2023-01-23 23:00:00,8827
2023-01-24 00:00:00,9030
2023-01-24 01:00:00,8908
2023-01-24 02:00:00,8786
2023-01-24 03:00:00,8455
2023-01-24 04:00:00,8134
2023-01-24 05:00:00,7832
2023-01-24 06:00:00,7638
2023-01-24 07:00:00,7504
2023-01-24 08:00:00,7524
2023-01-24 09:00:00,7510
2023-01-24 10:00:00,7577
2023-01-24 11:00:00,7939
2023-01-24 12:00:00,8405
2023-01-24 13:00:00,8940
2023-01-24 14:00:00,8978
2023-01-24 15:00:00,8988
2023-01-24 16:00:00,8957
2023-01-24 17:00:00,8726
2023-01-24 18:00:00,8562
2023-01-24 19:00:00,8468
2023-01-24 20:00:00,8361
2023-01-24 21:00:00,8308
2023-01-24 22:00:00,8382
2023-01-24 23:00:00,8553
2023-01-25 00:00:00,8757
2023-01-25 01:00:00,8778
2023-01-25 02:00:00,8614
2023-01-25 03:00:00,8307
2023-01-25 04:00:00,7996
2023-01-25 05:00:00,7620
2023-01-25 06:00:00,7457
2023-01-25 07:00:00,7283
2023-01-25 08:00:00,7174
2023-01-25 09:00:00,7097
2023-01-25 10:00:00,7218
2023-01-25 11:00:00,7567
2023-01-25 12:00:00,7989
2023-01-25 13:00:00,8404
2023-01-25 14:00:00,8564
2023-01-25 15:00:00,8738
2023-01-25 16:00:00,8875
2023-01-25 17:00:00,8895
2023-01-25 18:00:00,8880
2023-01-25 19:00:00,8816
2023-01-25 20:00:00,8659
2023-01-25 21:00:00,8547
2023-01-25 22:00:00,8565
2023-01-25 23:00:00,8674
2023-01-26 00:00:00,8717
2023-01-26 01:00:00,8625
2023-01-26 02:00:00,8383
2023-01-26 03:00:00,8166
2023-01-26 04:00:00,7859
2023-01-26 05:00:00,7612
2023-01-26 06:00:00,7354
2023-01-26 07:00:00,7277
2023-01-26 08:00:00,7201
2023-01-26 09:00:00,7206
2023-01-26 10:00:00,7358
2023-01-26 11:00:00,7694
2023-01-26 12:00:00,8216
2023-01-26 13:00:00,8601
2023-01-26 14:00:00,8699
2023-01-26 15:00:00,8794
2023-01-26 16:00:00,8875
2023-01-26 17:00:00,8906
2023-01-26 18:00:00,8900
2023-01-26 19:00:00,8780
2023-01-26 20:00:00,8764
2023-01-26 21:00:00,8698
2023-01-26 22:00:00,8719
2023-01-26 23:00:00,8872
2023-01-27 00:00:00,9020
2023-01-27 01:00:00,8946
2023-01-27 02:00:00,8828
2023-01-27 03:00:00,8567
2023-01-27 04:00:00,8169
2023-01-27 05:00:00,7847
