period,CE
2023-01-23 14:00:00,11898
2023-01-23 15:00:00,12101
2023-01-23 16:00:00,12243
2023-01-23 17:00:00,12212
2023-01-23 18:00:00,12022
2023-01-23 19:00:00,11954
2023-01-23 20:00:00,11843
2023-01-23 21:00:00,11592
2023-01-23 22:00:00,11557
2023-01-23 23:00:00,11919
2023-01-24 00:00:00,12437
2023-01-24 01:00:00,12318
2023-01-24 02:00:00,12138
2023-01-24 03:00:00,11814
2023-01-24 04:00:00,11372
2023-01-24 05:00:00,10791
2023-01-24 06:00:00,10278
2023-01-24 07:00:00,9933
2023-01-24 08:00:00,9725
2023-01-24 09:00:00,9601
2023-01-24 10:00:00,9621
2023-01-24 11:00:00,9853
2023-01-24 12:00:00,10453
2023-01-24 13:00:00,11352
2023-01-24 14:00:00,11830
2023-01-24 15:00:00,11858
2023-01-24 16:00:00,11732
2023-01-24 17:00:00,11567
2023-01-24 18:00:00,11471
2023-01-24 19:00:00,11381
2023-01-24 20:00:00,11477
2023-01-24 21:00:00,11456
2023-01-24 22:00:00,11536
2023-01-24 23:00:00,11727
2023-01-25 00:00:00,11957
2023-01-25 01:00:00,11733
2023-01-25 02:00:00,11528
2023-01-25 03:00:00,11255
2023-01-25 04:00:00,10913
2023-01-25 05:00:00,10396
2023-01-25 06:00:00,9903
2023-01-25 07:00:00,9623
2023-01-25 08:00:00,9446
2023-01-25 09:00:00,9426
2023-01-25 10:00:00,9465
2023-01-25 11:00:00,9694
2023-01-25 12:00:00,10304
2023-01-25 13:00:00,11158
2023-01-25 14:00:00,11612
2023-01-25 15:00:00,11756
2023-01-25 16:00:00,11811
2023-01-25 17:00:00,11921
2023-01-25 18:00:00,11943
2023-01-25 19:00:00,11897
2023-01-25 20:00:00,11888
2023-01-25 21:00:00,11797
2023-01-25 22:00:00,11753
2023-01-25 23:00:00,11946
2023-01-26 00:00:00,12278
2023-01-26 01:00:00,12026
2023-01-26 02:00:00,11829
2023-01-26 03:00:00,11560
2023-01-26 04:00:00,11108
2023-01-26 05:00:00,10567
2023-01-26 06:00:00,10070
2023-01-26 07:00:00,9833
2023-01-26 08:00:00,9611
2023-01-26 09:00:00,9536
2023-01-26 10:00:00,9509
2023-01-26 11:00:00,9815
2023-01-26 12:00:00,10436
2023-01-26 13:00:00,11326
2023-01-26 14:00:00,11800
2023-01-26 15:00:00,12007
2023-01-26 16:00:00,12073
2023-01-26 17:00:00,12106
2023-01-26 18:00:00,12108
2023-01-26 19:00:00,12084
2023-01-26 20:00:00,12122
2023-01-26 21:00:00,12144
2023-01-26 22:00:00,12221
2023-01-26 23:00:00,12479
2023-01-27 00:00:00,12826
2023-01-27 01:00:00,12742
2023-01-27 02:00:00,12549
2023-01-27 03:00:00,12293
2023-01-27 04:00:00,11904
2023-01-27 05:00:00,11359
2023-01-27 06:00:00,10989
2023-01-27 07:00:00,10722
2023-01-27 08:00:00,10591
2023-01-27 09:00:00,10526
2023-01-27 10:00:00,10583
2023-01-27 11:00:00,10832
2023-01-27 12:00:00,11442
2023-01-27 13:00:00,12265
2023-01-27 14:00:00,12701
2023-01-27 15:00:00,12843
2023-01-27 16:00:00,12884
2023-01-27 17:00:00,12957
2023-01-27 18:00:00,12876
2023-01-27 19:00:00,12794
2023-01-27 20:00:00,12740
2023-01-27 21:00:00,12539
2023-01-27 22:00:00,12354
2023-01-27 23:00:00,12362
2023-01-28 00:00:00,12577
2023-01-28 01:00:00,12411
2023-01-28 02:00:00,12181
2023-01-28 03:00:00,11925
2023-01-28 04:00:00,11641
2023-01-28 05:00:00,11185
2023-01-28 06:00:00,10786
2023-01-28 07:00:00,10387
2023-01-28 08:00:00,10211
2023-01-28 09:00:00,10038
2023-01-28 10:00:00,10056
2023-01-28 11:00:00,10076
2023-01-28 12:00:00,10323
2023-01-28 13:00:00,10698
2023-01-28 14:00:00,10860
2023-01-28 15:00:00,11057
2023-01-28 16:00:00,11292
2023-01-28 17:00:00,11344
2023-01-28 18:00:00,11273
2023-01-28 19:00:00,11210
2023-01-28 20:00:00,11102
2023-01-28 21:00:00,11072
2023-01-28 22:00:00,11105
2023-01-28 23:00:00,11301
2023-01-29 00:00:00,11668
2023-01-29 01:00:00,11637
2023-01-29 02:00:00,11438
2023-01-29 03:00:00,11223
2023-01-29 04:00:00,10888
2023-01-29 05:00:00,10532
2023-01-29 06:00:00,10174
2023-01-29 07:00:00,9861
2023-01-29 08:00:00,9632
2023-01-29 09:00:00,9549
2023-01-29 10:00:00,9464
2023-01-29 11:00:00,9570
2023-01-29 12:00:00,9713
2023-01-29 13:00:00,10019
2023-01-29 14:00:00,10163
2023-01-29 15:00:00,10410
2023-01-29 16:00:00,10594
2023-01-29 17:00:00,10681
2023-01-29 18:00:00,10629
2023-01-29 19:00:00,10607
2023-01-29 20:00:00,10600
2023-01-29 21:00:00,10670
2023-01-29 22:00:00,10747
2023-01-29 23:00:00,11062
2023-01-30 00:00:00,11558
2023-01-30 01:00:00,11588
2023-01-30 02:00:00,11499
2023-01-30 03:00:00,11306
2023-01-30 04:00:00,11059
2023-01-30 05:00:00,10721
2023-01-30 06:00:00,10435
2023-01-30 07:00:00,10242
2023-01-30 08:00:00,10149
2023-01-30 09:00:00,10198
2023-01-30 10:00:00,10239
2023-01-30 11:00:00,10570
2023-01-30 12:00:00,11125
2023-01-30 13:00:00,12072
2023-01-30 14:00:00,12694
2023-01-30 15:00:00,12953
2023-01-30 16:00:00,13082
2023-01-30 17:00:00,13099
2023-01-30 18:00:00,12972
2023-01-30 19:00:00,12886
2023-01-30 20:00:00,12940
2023-01-30 21:00:00,12845
2023-01-30 22:00:00,12713
2023-01-30 23:00:00,12914
2023-01-31 00:00:00,13494
2023-01-31 01:00:00,13576
2023-01-31 02:00:00,13501
2023-01-31 03:00:00,13236
2023-01-31 04:00:00,12836
2023-01-31 05:00:00,12329
2023-01-31 06:00:00,11861
2023-01-31 07:00:00,11557
2023-01-31 08:00:00,11374
2023-01-31 09:00:00,11283
2023-01-31 10:00:00,11310
2023-01-31 11:00:00,11507
2023-01-31 12:00:00,12030
2023-01-31 13:00:00,12953
2023-01-31 14:00:00,13366
2023-01-31 15:00:00,13338
2023-01-31 16:00:00,13190
2023-01-31 17:00:00,13132
2023-01-31 18:00:00,13061
2023-01-31 19:00:00,12931
2023-01-31 20:00:00,12839
2023-01-31 21:00:00,12690
2023-01-31 22:00:00,12651
2023-01-31 23:00:00,12951
2023-02-01 00:00:00,13562
2023-02-01 01:00:00,13676
2023-02-01 02:00:00,13567
2023-02-01 03:00:00,13340
2023-02-01 04:00:00,12940
2023-02-01 05:00:00,12455
2023-02-01 06:00:00,12007
2023-02-01 07:00:00,11762
2023-02-01 08:00:00,11589
2023-02-01 09:00:00,11421
2023-02-01 10:00:00,11442
2023-02-01 11:00:00,11584
2023-02-01 12:00:00,12055
2023-02-01 13:00:00,12832
2023-02-01 14:00:00,13222
2023-02-01 15:00:00,13131
2023-02-01 16:00:00,12934
2023-02-01 17:00:00,12789
2023-02-01 18:00:00,12622
2023-02-01 19:00:00,12455
2023-02-01 20:00:00,12379
2023-02-01 21:00:00,12135
2023-02-01 22:00:00,11998
2023-02-01 23:00:00,12238
2023-02-02 00:00:00,12850
2023-02-02 01:00:00,12876
2023-02-02 02:00:00,12723
2023-02-02 03:00:00,12440
2023-02-02 04:00:00,12073
2023-02-02 05:00:00,11560
2023-02-02 06:00:00,11113
2023-02-02 07:00:00,10848
2023-02-02 08:00:00,10670
2023-02-02 09:00:00,10610
2023-02-02 10:00:00,10661
2023-02-02 11:00:00,10839
2023-02-02 12:00:00,11406
2023-02-02 13:00:00,12238
2023-02-02 14:00:00,12585
2023-02-02 15:00:00,12497
2023-02-02 16:00:00,12364
2023-02-02 17:00:00,12243
2023-02-02 18:00:00,12039
2023-02-02 19:00:00,11897
2023-02-02 20:00:00,11811
2023-02-02 21:00:00,11660
2023-02-02 22:00:00,11669
2023-02-02 23:00:00,12065
2023-02-03 00:00:00,12690
2023-02-03 01:00:00,12825
2023-02-03 02:00:00,12771
2023-02-03 03:00:00,12638
2023-02-03 04:00:00,12352
2023-02-03 05:00:00,11895
2023-02-03 06:00:00,11556
2023-02-03 07:00:00,11309
2023-02-03 08:00:00,11188
2023-02-03 09:00:00,11147
2023-02-03 10:00:00,11188
2023-02-03 11:00:00,11363
2023-02-03 12:00:00,11903
2023-02-03 13:00:00,12740
2023-02-03 14:00:00,13156
2023-02-03 15:00:00,13146
2023-02-03 16:00:00,13130
2023-02-03 17:00:00,13051
2023-02-03 18:00:00,12943
2023-02-03 19:00:00,12807
2023-02-03 20:00:00,12773
2023-02-03 21:00:00,12827
2023-02-03 22:00:00,12875
2023-02-03 23:00:00,13017
2023-02-04 00:00:00,13413
2023-02-04 01:00:00,13440
2023-02-04 02:00:00,13288
2023-02-04 03:00:00,12933
2023-02-04 04:00:00,12756
2023-02-04 05:00:00,12239
2023-02-04 06:00:00,11685
2023-02-04 07:00:00,11391
2023-02-04 08:00:00,11200
2023-02-04 09:00:00,11054
2023-02-04 10:00:00,10946
2023-02-04 11:00:00,11030
2023-02-04 12:00:00,11236
2023-02-04 13:00:00,11535
2023-02-04 14:00:00,11662
2023-02-04 15:00:00,11578
2023-02-04 16:00:00,11438
2023-02-04 17:00:00,11299
2023-02-04 18:00:00,11104
2023-02-04 19:00:00,10801
2023-02-04 20:00:00,10541
2023-02-04 21:00:00,10368
2023-02-04 22:00:00,10370
