period,DOM
2023-01-23 14:00:00,14997
2023-01-23 15:00:00,14672
2023-01-23 16:00:00,14212
2023-01-23 17:00:00,13785
2023-01-23 18:00:00,13554
2023-01-23 19:00:00,13521
2023-01-23 20:00:00,13539
2023-01-23 21:00:00,13719
2023-01-23 22:00:00,14334
2023-01-23 23:00:00,15116
2023-01-24 00:00:00,15462
2023-01-24 01:00:00,15424
2023-01-24 02:00:00,15151
2023-01-24 03:00:00,14753
2023-01-24 04:00:00,14191
2023-01-24 05:00:00,13736
2023-01-24 06:00:00,13567
2023-01-24 07:00:00,13572
2023-01-24 08:00:00,13788
2023-01-24 09:00:00,14084
2023-01-24 10:00:00,14656
2023-01-24 11:00:00,15631
2023-01-24 12:00:00,16877
2023-01-24 13:00:00,17448
2023-01-24 14:00:00,16696
2023-01-24 15:00:00,15322
2023-01-24 16:00:00,14384
2023-01-24 17:00:00,13692
2023-01-24 18:00:00,13231
2023-01-24 19:00:00,12863
2023-01-24 20:00:00,12533
2023-01-24 21:00:00,12541
2023-01-24 22:00:00,13035
2023-01-24 23:00:00,14171
2023-01-25 00:00:00,14937
2023-01-25 01:00:00,15101
2023-01-25 02:00:00,15155
2023-01-25 03:00:00,14982
2023-01-25 04:00:00,14536
2023-01-25 05:00:00,14189
2023-01-25 06:00:00,13916
2023-01-25 07:00:00,13865
2023-01-25 08:00:00,13742
2023-01-25 09:00:00,13761
2023-01-25 10:00:00,14119
2023-01-25 11:00:00,14842
2023-01-25 12:00:00,15968
2023-01-25 13:00:00,16516
2023-01-25 14:00:00,16311
2023-01-25 15:00:00,16082
2023-01-25 16:00:00,15929
2023-01-25 17:00:00,15852
2023-01-25 18:00:00,15697
2023-01-25 19:00:00,15497
2023-01-25 20:00:00,15386
2023-01-25 21:00:00,15211
2023-01-25 22:00:00,15214
2023-01-25 23:00:00,15394
2023-01-26 00:00:00,15169
2023-01-26 01:00:00,14812
2023-01-26 02:00:00,14387
2023-01-26 03:00:00,13799
2023-01-26 04:00:00,13087
2023-01-26 05:00:00,12470
2023-01-26 06:00:00,12068
2023-01-26 07:00:00,11890
2023-01-26 08:00:00,11838
2023-01-26 09:00:00,11942
2023-01-26 10:00:00,12291
2023-01-26 11:00:00,13131
2023-01-26 12:00:00,14318
2023-01-26 13:00:00,15003
2023-01-26 14:00:00,14620
2023-01-26 15:00:00,13884
2023-01-26 16:00:00,13565
2023-01-26 17:00:00,13453
2023-01-26 18:00:00,13292
2023-01-26 19:00:00,13282
2023-01-26 20:00:00,13193
2023-01-26 21:00:00,13374
2023-01-26 22:00:00,13874
2023-01-26 23:00:00,14673
2023-01-27 00:00:00,15072
2023-01-27 01:00:00,14947
2023-01-27 02:00:00,14855
2023-01-27 03:00:00,14551
2023-01-27 04:00:00,14075
2023-01-27 05:00:00,13576
2023-01-27 06:00:00,13287
2023-01-27 07:00:00,13237
2023-01-27 08:00:00,13377
2023-01-27 09:00:00,13679
2023-01-27 10:00:00,14218
2023-01-27 11:00:00,15133
2023-01-27 12:00:00,16383
2023-01-27 13:00:00,17001
2023-01-27 14:00:00,16457
2023-01-27 15:00:00,15322
2023-01-27 16:00:00,14526
2023-01-27 17:00:00,14160
2023-01-27 18:00:00,13854
2023-01-27 19:00:00,13484
2023-01-27 20:00:00,13110
2023-01-27 21:00:00,13042
2023-01-27 22:00:00,13604
2023-01-27 23:00:00,14635
2023-01-28 00:00:00,15160
2023-01-28 01:00:00,15250
2023-01-28 02:00:00,15346
2023-01-28 03:00:00,15270
2023-01-28 04:00:00,14945
