period,DOM
2018-07-01 05:00:00,9775
2018-07-01 06:00:00,9787
2018-07-01 07:00:00,10453
2018-07-01 08:00:00,11734
2018-07-01 09:00:00,13084
2018-07-01 10:00:00,14454
2018-07-01 11:00:00,15537
2018-07-01 12:00:00,16331
2018-07-01 13:00:00,16942
2018-07-01 14:00:00,17237
2018-07-01 15:00:00,17495
2018-07-01 16:00:00,17743
2018-07-01 17:00:00,17860
2018-07-01 18:00:00,17727
2018-07-01 19:00:00,17401
2018-07-01 20:00:00,16743
2018-07-01 21:00:00,16180
2018-07-01 22:00:00,14997
2018-07-01 23:00:00,13699
2018-07-02 00:00:00,12608
2018-07-02 01:00:00,11842
2018-07-02 02:00:00,11324
2018-07-02 03:00:00,11003
2018-07-02 04:00:00,10948
2018-07-02 05:00:00,9775
2018-07-02 06:00:00,9787
2018-07-02 07:00:00,10453
2018-07-02 08:00:00,11734
2018-07-02 09:00:00,13084
2018-07-02 10:00:00,14454
2018-07-02 11:00:00,15537
2018-07-02 12:00:00,16331
2018-07-02 13:00:00,16942
2018-07-02 14:00:00,17237
2018-07-02 15:00:00,17495
2018-07-02 16:00:00,17743
2018-07-02 17:00:00,17860
2018-07-02 18:00:00,17727
2018-07-02 19:00:00,17401
2018-07-02 20:00:00,16743
2018-07-02 21:00:00,16180
2018-07-02 22:00:00,14997
2018-07-02 23:00:00,13699
2018-07-03 00:00:00,12608
2018-07-03 01:00:00,11842
2018-07-03 02:00:00,11324
2018-07-03 03:00:00,11003
2018-07-03 04:00:00,10948
2018-07-03 05:00:00,9819
2018-07-03 06:00:00,9775
2018-07-03 07:00:00,9787
2018-07-03 08:00:00,10453
2018-07-03 09:00:00,11734
2018-07-03 10:00:00,13084
2018-07-03 11:00:00,14454
2018-07-03 12:00:00,15537
2018-07-03 13:00:00,16331
2018-07-03 14:00:00,16942
2018-07-03 15:00:00,17237
2018-07-03 16:00:00,17495
2018-07-03 17:00:00,17743
2018-07-03 18:00:00,17860
2018-07-03 19:00:00,17727
2018-07-03 20:00:00,17401
2018-07-03 21:00:00,16743
2018-07-03 22:00:00,16180
2018-07-03 23:00:00,14997
2018-07-04 00:00:00,13699
2018-07-04 01:00:00,12608
2018-07-04 02:00:00,11842
2018-07-04 03:00:00,11324
2018-07-04 04:00:00,11003
2018-07-04 05:00:00,11040
2018-07-04 06:00:00,11056
2018-07-04 07:00:00,11086
2018-07-04 08:00:00,11693
2018-07-04 09:00:00,12710
2018-07-04 10:00:00,13967
2018-07-04 11:00:00,15171
2018-07-04 12:00:00,16090
2018-07-04 13:00:00,16679
2018-07-04 14:00:00,17063
2018-07-04 15:00:00,17327
2018-07-04 16:00:00,17421
2018-07-04 17:00:00,17445
2018-07-04 18:00:00,17208
2018-07-04 19:00:00,16757
2018-07-04 20:00:00,16008
2018-07-04 21:00:00,15333
2018-07-04 22:00:00,14681
2018-07-04 23:00:00,14031
2018-07-05 00:00:00,13137
2018-07-05 01:00:00,12185
2018-07-05 02:00:00,11467
2018-07-05 03:00:00,11026
2018-07-05 04:00:00,10806
2018-07-05 05:00:00,10797
2018-07-05 06:00:00,11087
2018-07-05 07:00:00,11613
2018-07-05 08:00:00,12478
2018-07-05 09:00:00,13473
2018-07-05 10:00:00,14409
2018-07-05 11:00:00,15334
2018-07-05 12:00:00,16104
2018-07-05 13:00:00,16793
2018-07-05 14:00:00,17195
2018-07-05 15:00:00,17504
2018-07-05 16:00:00,17640
2018-07-05 17:00:00,17873
2018-07-05 18:00:00,18111
2018-07-05 19:00:00,17957
2018-07-05 20:00:00,17351
2018-07-05 21:00:00,16668
2018-07-05 22:00:00,16085
2018-07-05 23:00:00,14937
2018-07-06 00:00:00,13772
2018-07-06 01:00:00,12837
2018-07-06 02:00:00,12109
2018-07-06 03:00:00,11571
2018-07-06 04:00:00,11230
2018-07-06 05:00:00,11192
2018-07-06 06:00:00,11468
2018-07-06 07:00:00,11945
2018-07-06 08:00:00,12519
2018-07-06 09:00:00,13300
2018-07-06 10:00:00,14147
2018-07-06 11:00:00,14857
2018-07-06 12:00:00,15562
2018-07-06 13:00:00,16205
2018-07-06 14:00:00,16668
2018-07-06 15:00:00,16995
2018-07-06 16:00:00,17013
2018-07-06 17:00:00,16809
2018-07-06 18:00:00,16401
2018-07-06 19:00:00,15753
2018-07-06 20:00:00,15028
2018-07-06 21:00:00,14463
2018-07-06 22:00:00,13969
2018-07-06 23:00:00,13046
2018-07-07 00:00:00,11981
2018-07-07 01:00:00,11145
2018-07-07 02:00:00,10551
2018-07-07 03:00:00,10060
2018-07-07 04:00:00,9764
2018-07-07 05:00:00,9615
2018-07-07 06:00:00,9534
2018-07-07 07:00:00,9449
2018-07-07 08:00:00,9723
2018-07-07 09:00:00,10295
2018-07-07 10:00:00,10950
2018-07-07 11:00:00,11471
2018-07-07 12:00:00,11878
2018-07-07 13:00:00,12056
2018-07-07 14:00:00,12247
2018-07-07 15:00:00,12429
2018-07-07 16:00:00,12626
2018-07-07 17:00:00,12899
2018-07-07 18:00:00,13045
2018-07-07 19:00:00,12811
2018-07-07 20:00:00,12352
2018-07-07 21:00:00,11854
2018-07-07 22:00:00,11583
2018-07-07 23:00:00,10852
2018-07-08 00:00:00,10013
2018-07-08 01:00:00,9269
2018-07-08 02:00:00,8712
2018-07-08 03:00:00,8361
2018-07-08 04:00:00,8125
2018-07-08 05:00:00,8037
2018-07-08 06:00:00,8055
2018-07-08 07:00:00,8033
2018-07-08 08:00:00,8474
2018-07-08 09:00:00,9215
2018-07-08 10:00:00,9840
2018-07-08 11:00:00,10484
2018-07-08 12:00:00,10968
2018-07-08 13:00:00,11420
2018-07-08 14:00:00,11877
2018-07-08 15:00:00,12316
2018-07-08 16:00:00,12796
2018-07-08 17:00:00,13238
2018-07-08 18:00:00,13531
2018-07-08 19:00:00,13477
2018-07-08 20:00:00,13081
