period,DPL
2023-01-23 14:00:00,2391
2023-01-23 15:00:00,2370
2023-01-23 16:00:00,2372
2023-01-23 17:00:00,2383
2023-01-23 18:00:00,2375
2023-01-23 19:00:00,2338
2023-01-23 20:00:00,2316
2023-01-23 21:00:00,2351
2023-01-23 22:00:00,2442
2023-01-23 23:00:00,2574
2023-01-24 00:00:00,2594
2023-01-24 01:00:00,2567
2023-01-24 02:00:00,2511
2023-01-24 03:00:00,2410
2023-01-24 04:00:00,2277
2023-01-24 05:00:00,2152
2023-01-24 06:00:00,2073
2023-01-24 07:00:00,2047
2023-01-24 08:00:00,2062
2023-01-24 09:00:00,2111
2023-01-24 10:00:00,2200
2023-01-24 11:00:00,2365
2023-01-24 12:00:00,2609
2023-01-24 13:00:00,2682
2023-01-24 14:00:00,2523
2023-01-24 15:00:00,2290
2023-01-24 16:00:00,2073
2023-01-24 17:00:00,1974
2023-01-24 18:00:00,1906
2023-01-24 19:00:00,1885
2023-01-24 20:00:00,1870
2023-01-24 21:00:00,1924
2023-01-24 22:00:00,2089
2023-01-24 23:00:00,2344
2023-01-25 00:00:00,2464
2023-01-25 01:00:00,2496
2023-01-25 02:00:00,2486
2023-01-25 03:00:00,2437
2023-01-25 04:00:00,2342
2023-01-25 05:00:00,2263
2023-01-25 06:00:00,2225
2023-01-25 07:00:00,2214
2023-01-25 08:00:00,2234
2023-01-25 09:00:00,2227
2023-01-25 10:00:00,2249
2023-01-25 11:00:00,2357
2023-01-25 12:00:00,2555
2023-01-25 13:00:00,2611
2023-01-25 14:00:00,2556
2023-01-25 15:00:00,2505
2023-01-25 16:00:00,2476
2023-01-25 17:00:00,2467
2023-01-25 18:00:00,2457
2023-01-25 19:00:00,2426
2023-01-25 20:00:00,2413
2023-01-25 21:00:00,2418
2023-01-25 22:00:00,2462
2023-01-25 23:00:00,2506
2023-01-26 00:00:00,2446
2023-01-26 01:00:00,2340
2023-01-26 02:00:00,2216
2023-01-26 03:00:00,2064
2023-01-26 04:00:00,1907
2023-01-26 05:00:00,1762
2023-01-26 06:00:00,1671
2023-01-26 07:00:00,1630
2023-01-26 08:00:00,1618
2023-01-26 09:00:00,1634
2023-01-26 10:00:00,1704
2023-01-26 11:00:00,1865
2023-01-26 12:00:00,2105
2023-01-26 13:00:00,2209
2023-01-26 14:00:00,2120
2023-01-26 15:00:00,1970
2023-01-26 16:00:00,1915
2023-01-26 17:00:00,1930
2023-01-26 18:00:00,1953
2023-01-26 19:00:00,2011
2023-01-26 20:00:00,2016
2023-01-26 21:00:00,2083
2023-01-26 22:00:00,2196
2023-01-26 23:00:00,2342
2023-01-27 00:00:00,2394
2023-01-27 01:00:00,2378
2023-01-27 02:00:00,2326
2023-01-27 03:00:00,2247
2023-01-27 04:00:00,2134
2023-01-27 05:00:00,2037
2023-01-27 06:00:00,1991
2023-01-27 07:00:00,1987
2023-01-27 08:00:00,2004
2023-01-27 09:00:00,2046
2023-01-27 10:00:00,2142
2023-01-27 11:00:00,2315
2023-01-27 12:00:00,2555
2023-01-27 13:00:00,2667
2023-01-27 14:00:00,2579
2023-01-27 15:00:00,2453
2023-01-27 16:00:00,2308
2023-01-27 17:00:00,2228
2023-01-27 18:00:00,2183
2023-01-27 19:00:00,2139
2023-01-27 20:00:00,2100
2023-01-27 21:00:00,2112
2023-01-27 22:00:00,2238
2023-01-27 23:00:00,2460
2023-01-28 00:00:00,2562
2023-01-28 01:00:00,2588
2023-01-28 02:00:00,2594
2023-01-28 03:00:00,2563
2023-01-28 04:00:00,2489
2023-01-28 05:00:00,2401
2023-01-28 06:00:00,2327
2023-01-28 07:00:00,2276
2023-01-28 08:00:00,2236
2023-01-28 09:00:00,2214
2023-01-28 10:00:00,2225
2023-01-28 11:00:00,2260
2023-01-28 12:00:00,2342
2023-01-28 13:00:00,2408
2023-01-28 14:00:00,2304
2023-01-28 15:00:00,2110
2023-01-28 16:00:00,2070
2023-01-28 17:00:00,1980
2023-01-28 18:00:00,1829
2023-01-28 19:00:00,1704
2023-01-28 20:00:00,1710
2023-01-28 21:00:00,1755
2023-01-28 22:00:00,1877
2023-01-28 23:00:00,2061
2023-01-29 00:00:00,2146
2023-01-29 01:00:00,2157
2023-01-29 02:00:00,2154
2023-01-29 03:00:00,2126
2023-01-29 04:00:00,2074
2023-01-29 05:00:00,2013
2023-01-29 06:00:00,1970
2023-01-29 07:00:00,1942
2023-01-29 08:00:00,1935
2023-01-29 09:00:00,1943
2023-01-29 10:00:00,1976
2023-01-29 11:00:00,2037
2023-01-29 12:00:00,2126
2023-01-29 13:00:00,2195
2023-01-29 14:00:00,2188
2023-01-29 15:00:00,2098
2023-01-29 16:00:00,2035
2023-01-29 17:00:00,1997
2023-01-29 18:00:00,1972
2023-01-29 19:00:00,2018
2023-01-29 20:00:00,2061
2023-01-29 21:00:00,2063
2023-01-29 22:00:00,2109
2023-01-29 23:00:00,2210
2023-01-30 00:00:00,2239
2023-01-30 01:00:00,2216
2023-01-30 02:00:00,2167
2023-01-30 03:00:00,2063
2023-01-30 04:00:00,1963
2023-01-30 05:00:00,1863
2023-01-30 06:00:00,1800
2023-01-30 07:00:00,1771
2023-01-30 08:00:00,1772
2023-01-30 09:00:00,1793
2023-01-30 10:00:00,1856
2023-01-30 11:00:00,1996
2023-01-30 12:00:00,2199
2023-01-30 13:00:00,2288
2023-01-30 14:00:00,2276
2023-01-30 15:00:00,2236
2023-01-30 16:00:00,2085
2023-01-30 17:00:00,1980
2023-01-30 18:00:00,1877
2023-01-30 19:00:00,1820
2023-01-30 20:00:00,1770
2023-01-30 21:00:00,1752
2023-01-30 22:00:00,1933
2023-01-30 23:00:00,2158
2023-01-31 00:00:00,2243
2023-01-31 01:00:00,2224
2023-01-31 02:00:00,2196
2023-01-31 03:00:00,2119
2023-01-31 04:00:00,2008
2023-01-31 05:00:00,1911
2023-01-31 06:00:00,1848
2023-01-31 07:00:00,1819
2023-01-31 08:00:00,1805
2023-01-31 09:00:00,1803
2023-01-31 10:00:00,1843
2023-01-31 11:00:00,1961
2023-01-31 12:00:00,2150
2023-01-31 13:00:00,2238
2023-01-31 14:00:00,2249
2023-01-31 15:00:00,2269
2023-01-31 16:00:00,2290
2023-01-31 17:00:00,2301
2023-01-31 18:00:00,2308
2023-01-31 19:00:00,2317
2023-01-31 20:00:00,2339
2023-01-31 21:00:00,2381
2023-01-31 22:00:00,2472
2023-01-31 23:00:00,2604
2023-02-01 00:00:00,2638
2023-02-01 01:00:00,2604
2023-02-01 02:00:00,2541
2023-02-01 03:00:00,2428
2023-02-01 04:00:00,2287
2023-02-01 05:00:00,2167
2023-02-01 06:00:00,2099
2023-02-01 07:00:00,2068
2023-02-01 08:00:00,2076
2023-02-01 09:00:00,2103
2023-02-01 10:00:00,2188
2023-02-01 11:00:00,2357
2023-02-01 12:00:00,2587
2023-02-01 13:00:00,2695
2023-02-01 14:00:00,2694
2023-02-01 15:00:00,2597
2023-02-01 16:00:00,2442
2023-02-01 17:00:00,2317
2023-02-01 18:00:00,2237
2023-02-01 19:00:00,2167
2023-02-01 20:00:00,2118
2023-02-01 21:00:00,2142
2023-02-01 22:00:00,2351
2023-02-01 23:00:00,2619
2023-02-02 00:00:00,2765
2023-02-02 01:00:00,2800
2023-02-02 02:00:00,2791
2023-02-02 03:00:00,2720
2023-02-02 04:00:00,2599
2023-02-02 05:00:00,2503
2023-02-02 06:00:00,2452
2023-02-02 07:00:00,2441
2023-02-02 08:00:00,2461
2023-02-02 09:00:00,2491
2023-02-02 10:00:00,2547
2023-02-02 11:00:00,2668
2023-02-02 12:00:00,2858
2023-02-02 13:00:00,2919
2023-02-02 14:00:00,2836
2023-02-02 15:00:00,2754
2023-02-02 16:00:00,2600
2023-02-02 17:00:00,2412
2023-02-02 18:00:00,2293
2023-02-02 19:00:00,2188
2023-02-02 20:00:00,2173
2023-02-02 21:00:00,2269
2023-02-02 22:00:00,2442
2023-02-02 23:00:00,2620
2023-02-03 00:00:00,2710
2023-02-03 01:00:00,2709
2023-02-03 02:00:00,2657
2023-02-03 03:00:00,2557
2023-02-03 04:00:00,2418
2023-02-03 05:00:00,2287
2023-02-03 06:00:00,2208
2023-02-03 07:00:00,2162
2023-02-03 08:00:00,2146
2023-02-03 09:00:00,2158
2023-02-03 10:00:00,2213
2023-02-03 11:00:00,2345
2023-02-03 12:00:00,2578
2023-02-03 13:00:00,2691
2023-02-03 14:00:00,2633
2023-02-03 15:00:00,2547
2023-02-03 16:00:00,2441
2023-02-03 17:00:00,2378
2023-02-03 18:00:00,2349
2023-02-03 19:00:00,2316
2023-02-03 20:00:00,2368
2023-02-03 21:00:00,2482
2023-02-03 22:00:00,2782
2023-02-03 23:00:00,3113
2023-02-04 00:00:00,3282
2023-02-04 01:00:00,3325
2023-02-04 02:00:00,3342
2023-02-04 03:00:00,3302
2023-02-04 04:00:00,3227
2023-02-04 05:00:00,3167
2023-02-04 06:00:00,3136
2023-02-04 07:00:00,3137
2023-02-04 08:00:00,3146
2023-02-04 09:00:00,3161
2023-02-04 10:00:00,3184
2023-02-04 11:00:00,3229
2023-02-04 12:00:00,3300
2023-02-04 13:00:00,3357
2023-02-04 14:00:00,3153
2023-02-04 15:00:00,2938
2023-02-04 16:00:00,2755
2023-02-04 17:00:00,2606
2023-02-04 18:00:00,2467
2023-02-04 19:00:00,2364
2023-02-04 20:00:00,2316
2023-02-04 21:00:00,2374
2023-02-04 22:00:00,2613
2023-02-04 23:00:00,2907
2023-02-05 00:00:00,3036
2023-02-05 01:00:00,3039
2023-02-05 02:00:00,3009
2023-02-05 03:00:00,2937
2023-02-05 04:00:00,2831
2023-02-05 05:00:00,2709
2023-02-05 06:00:00,2619
2023-02-05 07:00:00,2555
2023-02-05 08:00:00,2512
2023-02-05 09:00:00,2483
2023-02-05 10:00:00,2481
2023-02-05 11:00:00,2511
2023-02-05 12:00:00,2575
2023-02-05 13:00:00,2607
2023-02-05 14:00:00,2480
2023-02-05 15:00:00,2319
2023-02-05 16:00:00,2205
2023-02-05 17:00:00,2062
2023-02-05 18:00:00,1984
2023-02-05 19:00:00,1952
2023-02-05 20:00:00,1924
2023-02-05 21:00:00,1914
2023-02-05 22:00:00,2071
2023-02-05 23:00:00,2277
2023-02-06 00:00:00,2361
2023-02-06 01:00:00,2338
2023-02-06 02:00:00,2270
2023-02-06 03:00:00,2160
2023-02-06 04:00:00,2024
2023-02-06 05:00:00,1896
2023-02-06 06:00:00,1820
2023-02-06 07:00:00,1800
2023-02-06 08:00:00,1814
2023-02-06 09:00:00,1858
2023-02-06 10:00:00,1950
2023-02-06 11:00:00,2128
2023-02-06 12:00:00,2360
2023-02-06 13:00:00,2461
2023-02-06 14:00:00,2322
2023-02-06 15:00:00,2080
2023-02-06 16:00:00,1926
2023-02-06 17:00:00,1921
2023-02-06 18:00:00,1946
2023-02-06 19:00:00,2023
2023-02-06 20:00:00,2036
2023-02-06 21:00:00,2081
2023-02-06 22:00:00,2204
2023-02-06 23:00:00,2378
2023-02-07 00:00:00,2473
2023-02-07 01:00:00,2461
2023-02-07 02:00:00,2405
2023-02-07 03:00:00,2323
2023-02-07 04:00:00,2217
2023-02-07 05:00:00,2128
2023-02-07 06:00:00,2098
2023-02-07 07:00:00,2111
2023-02-07 08:00:00,2158
2023-02-07 09:00:00,2227
2023-02-07 10:00:00,2341
2023-02-07 11:00:00,2531
2023-02-07 12:00:00,2794
2023-02-07 13:00:00,2854
2023-02-07 14:00:00,2642
2023-02-07 15:00:00,2345
2023-02-07 16:00:00,2184
2023-02-07 17:00:00,2108
2023-02-07 18:00:00,2049
2023-02-07 19:00:00,2016
2023-02-07 20:00:00,2005
2023-02-07 21:00:00,2084
2023-02-07 22:00:00,2218
2023-02-07 23:00:00,2416
2023-02-08 00:00:00,2501
2023-02-08 01:00:00,2480
2023-02-08 02:00:00,2417
2023-02-08 03:00:00,2298
2023-02-08 04:00:00,2147
2023-02-08 05:00:00,2010
2023-02-08 06:00:00,1919
2023-02-08 07:00:00,1869
2023-02-08 08:00:00,1844
2023-02-08 09:00:00,1845
2023-02-08 10:00:00,1888
2023-02-08 11:00:00,2018
2023-02-08 12:00:00,2229
2023-02-08 13:00:00,2308
2023-02-08 14:00:00,2190
2023-02-08 15:00:00,1932
2023-02-08 16:00:00,1759
2023-02-08 17:00:00,1669
2023-02-08 18:00:00,1622
2023-02-08 19:00:00,1599
2023-02-08 20:00:00,1602
2023-02-08 21:00:00,1688
2023-02-08 22:00:00,1791
2023-02-08 23:00:00,1986
2023-02-09 00:00:00,2119
2023-02-09 01:00:00,2138
2023-02-09 02:00:00,2127
2023-02-09 03:00:00,2075
2023-02-09 04:00:00,1984
2023-02-09 05:00:00,1910
2023-02-09 06:00:00,1883
2023-02-09 07:00:00,1892
2023-02-09 08:00:00,1912
2023-02-09 09:00:00,1934
2023-02-09 10:00:00,1989
2023-02-09 11:00:00,2116
2023-02-09 12:00:00,2307
2023-02-09 13:00:00,2338
2023-02-09 14:00:00,2279
2023-02-09 15:00:00,2204
2023-02-09 16:00:00,2114
2023-02-09 17:00:00,2020
2023-02-09 18:00:00,1879
2023-02-09 19:00:00,1791
