period,PE
2023-01-23 14:00:00,4927
2023-01-23 15:00:00,4955
2023-01-23 16:00:00,5010
2023-01-23 17:00:00,5013
2023-01-23 18:00:00,5013
2023-01-23 19:00:00,5013
2023-01-23 20:00:00,4985
2023-01-23 21:00:00,4954
2023-01-23 22:00:00,5055
2023-01-23 23:00:00,5273
2023-01-24 00:00:00,5268
2023-01-24 01:00:00,5156
2023-01-24 02:00:00,5015
2023-01-24 03:00:00,4822
2023-01-24 04:00:00,4548
2023-01-24 05:00:00,4268
2023-01-24 06:00:00,4063
2023-01-24 07:00:00,3949
2023-01-24 08:00:00,3875
2023-01-24 09:00:00,3898
2023-01-24 10:00:00,4017
2023-01-24 11:00:00,4316
2023-01-24 12:00:00,4750
2023-01-24 13:00:00,5002
2023-01-24 14:00:00,5089
2023-01-24 15:00:00,5029
2023-01-24 16:00:00,4809
2023-01-24 17:00:00,4714
2023-01-24 18:00:00,4625
2023-01-24 19:00:00,4551
2023-01-24 20:00:00,4514
2023-01-24 21:00:00,4555
2023-01-24 22:00:00,4677
2023-01-24 23:00:00,4948
2023-01-25 00:00:00,5051
2023-01-25 01:00:00,5000
2023-01-25 02:00:00,4913
2023-01-25 03:00:00,4753
2023-01-25 04:00:00,4515
2023-01-25 05:00:00,4276
2023-01-25 06:00:00,4128
2023-01-25 07:00:00,4062
2023-01-25 08:00:00,4038
2023-01-25 09:00:00,4057
2023-01-25 10:00:00,4168
2023-01-25 11:00:00,4393
2023-01-25 12:00:00,4811
2023-01-25 13:00:00,5054
2023-01-25 14:00:00,5089
2023-01-25 15:00:00,5069
2023-01-25 16:00:00,5074
2023-01-25 17:00:00,5124
2023-01-25 18:00:00,5148
2023-01-25 19:00:00,5124
2023-01-25 20:00:00,5108
2023-01-25 21:00:00,5093
2023-01-25 22:00:00,5167
2023-01-25 23:00:00,5291
2023-01-26 00:00:00,5186
2023-01-26 01:00:00,4997
2023-01-26 02:00:00,4790
2023-01-26 03:00:00,4545
2023-01-26 04:00:00,4229
2023-01-26 05:00:00,3906
2023-01-26 06:00:00,3718
2023-01-26 07:00:00,3562
2023-01-26 08:00:00,3509
2023-01-26 09:00:00,3515
2023-01-26 10:00:00,3631
2023-01-26 11:00:00,3908
2023-01-26 12:00:00,4350
2023-01-26 13:00:00,4651
2023-01-26 14:00:00,4709
2023-01-26 15:00:00,4715
2023-01-26 16:00:00,4734
2023-01-26 17:00:00,4728
2023-01-26 18:00:00,4631
2023-01-26 19:00:00,4575
2023-01-26 20:00:00,4567
2023-01-26 21:00:00,4627
2023-01-26 22:00:00,4730
2023-01-26 23:00:00,4978
2023-01-27 00:00:00,5010
2023-01-27 01:00:00,4915
2023-01-27 02:00:00,4808
2023-01-27 03:00:00,4660
2023-01-27 04:00:00,4369
