period,PL
2023-01-23 14:00:00,5834
2023-01-23 15:00:00,5864
2023-01-23 16:00:00,5846
2023-01-23 17:00:00,5858
2023-01-23 18:00:00,5843
2023-01-23 19:00:00,5818
2023-01-23 20:00:00,5747
2023-01-23 21:00:00,5722
2023-01-23 22:00:00,5841
2023-01-23 23:00:00,6021
2023-01-24 00:00:00,5999
2023-01-24 01:00:00,5914
2023-01-24 02:00:00,5766
2023-01-24 03:00:00,5538
2023-01-24 04:00:00,5263
2023-01-24 05:00:00,5032
2023-01-24 06:00:00,4875
2023-01-24 07:00:00,4779
2023-01-24 08:00:00,4743
2023-01-24 09:00:00,4771
2023-01-24 10:00:00,4894
2023-01-24 11:00:00,5179
2023-01-24 12:00:00,5721
2023-01-24 13:00:00,5970
2023-01-24 14:00:00,5956
2023-01-24 15:00:00,5776
2023-01-24 16:00:00,5680
2023-01-24 17:00:00,5555
2023-01-24 18:00:00,5516
2023-01-24 19:00:00,5536
2023-01-24 20:00:00,5530
2023-01-24 21:00:00,5507
2023-01-24 22:00:00,5605
2023-01-24 23:00:00,5819
2023-01-25 00:00:00,5844
2023-01-25 01:00:00,5778
2023-01-25 02:00:00,5667
2023-01-25 03:00:00,5503
2023-01-25 04:00:00,5286
2023-01-25 05:00:00,5137
2023-01-25 06:00:00,5036
2023-01-25 07:00:00,4978
2023-01-25 08:00:00,4933
2023-01-25 09:00:00,4946
2023-01-25 10:00:00,5099
2023-01-25 11:00:00,5345
2023-01-25 12:00:00,5766
2023-01-25 13:00:00,6015
2023-01-25 14:00:00,6066
2023-01-25 15:00:00,6067
2023-01-25 16:00:00,6108
2023-01-25 17:00:00,6191
2023-01-25 18:00:00,6237
2023-01-25 19:00:00,6186
2023-01-25 20:00:00,6074
2023-01-25 21:00:00,6006
2023-01-25 22:00:00,6083
2023-01-25 23:00:00,6195
2023-01-26 00:00:00,6070
2023-01-26 01:00:00,5882
2023-01-26 02:00:00,5657
2023-01-26 03:00:00,5374
2023-01-26 04:00:00,5050
2023-01-26 05:00:00,4846
2023-01-26 06:00:00,4669
2023-01-26 07:00:00,4582
2023-01-26 08:00:00,4539
2023-01-26 09:00:00,4541
2023-01-26 10:00:00,4660
2023-01-26 11:00:00,4984
2023-01-26 12:00:00,5476
2023-01-26 13:00:00,5762
2023-01-26 14:00:00,5813
2023-01-26 15:00:00,5826
2023-01-26 16:00:00,5799
2023-01-26 17:00:00,5762
2023-01-26 18:00:00,5679
2023-01-26 19:00:00,5652
2023-01-26 20:00:00,5595
2023-01-26 21:00:00,5563
2023-01-26 22:00:00,5657
2023-01-26 23:00:00,5827
2023-01-27 00:00:00,5831
2023-01-27 01:00:00,5751
2023-01-27 02:00:00,5627
2023-01-27 03:00:00,5415
2023-01-27 04:00:00,5180
2023-01-27 05:00:00,4974
2023-01-27 06:00:00,4847
2023-01-27 07:00:00,4760
2023-01-27 08:00:00,4731
2023-01-27 09:00:00,4759
2023-01-27 10:00:00,4888
2023-01-27 11:00:00,5192
2023-01-27 12:00:00,5668
2023-01-27 13:00:00,5928
2023-01-27 14:00:00,5927
2023-01-27 15:00:00,5786
2023-01-27 16:00:00,5657
2023-01-27 17:00:00,5641
2023-01-27 18:00:00,5621
2023-01-27 19:00:00,5550
2023-01-27 20:00:00,5457
2023-01-27 21:00:00,5381
2023-01-27 22:00:00,5489
2023-01-27 23:00:00,5732
2023-01-28 00:00:00,5782
2023-01-28 01:00:00,5738
2023-01-28 02:00:00,5665
2023-01-28 03:00:00,5527
2023-01-28 04:00:00,5308
2023-01-28 05:00:00,5095
2023-01-28 06:00:00,4924
2023-01-28 07:00:00,4801
2023-01-28 08:00:00,4718
2023-01-28 09:00:00,4691
2023-01-28 10:00:00,4719
2023-01-28 11:00:00,4815
2023-01-28 12:00:00,4986
2023-01-28 13:00:00,5156
2023-01-28 14:00:00,5227
2023-01-28 15:00:00,5130
2023-01-28 16:00:00,5000
2023-01-28 17:00:00,4871
2023-01-28 18:00:00,4726
2023-01-28 19:00:00,4676
2023-01-28 20:00:00,4643
2023-01-28 21:00:00,4642
2023-01-28 22:00:00,4744
2023-01-28 23:00:00,4957
2023-01-29 00:00:00,5030
2023-01-29 01:00:00,4987
2023-01-29 02:00:00,4909
2023-01-29 03:00:00,4788
2023-01-29 04:00:00,4635
2023-01-29 05:00:00,4495
2023-01-29 06:00:00,4393
2023-01-29 07:00:00,4349
2023-01-29 08:00:00,4339
2023-01-29 09:00:00,4357
2023-01-29 10:00:00,4410
2023-01-29 11:00:00,4510
2023-01-29 12:00:00,4680
2023-01-29 13:00:00,4867
2023-01-29 14:00:00,5037
2023-01-29 15:00:00,5130
2023-01-29 16:00:00,5159
2023-01-29 17:00:00,5136
2023-01-29 18:00:00,5096
2023-01-29 19:00:00,5051
2023-01-29 20:00:00,5001
2023-01-29 21:00:00,4962
2023-01-29 22:00:00,4997
2023-01-29 23:00:00,5134
2023-01-30 00:00:00,5158
2023-01-30 01:00:00,5082
2023-01-30 02:00:00,4981
2023-01-30 03:00:00,4779
2023-01-30 04:00:00,4576
2023-01-30 05:00:00,4407
2023-01-30 06:00:00,4240
2023-01-30 07:00:00,4191
2023-01-30 08:00:00,4221
2023-01-30 09:00:00,4277
2023-01-30 10:00:00,4439
2023-01-30 11:00:00,4743
2023-01-30 12:00:00,5273
2023-01-30 13:00:00,5579
2023-01-30 14:00:00,5618
2023-01-30 15:00:00,5490
2023-01-30 16:00:00,5349
2023-01-30 17:00:00,5263
2023-01-30 18:00:00,5194
2023-01-30 19:00:00,5128
2023-01-30 20:00:00,4992
2023-01-30 21:00:00,4959
2023-01-30 22:00:00,5061
2023-01-30 23:00:00,5268
2023-01-31 00:00:00,5302
2023-01-31 01:00:00,5224
2023-01-31 02:00:00,5093
2023-01-31 03:00:00,4884
2023-01-31 04:00:00,4631
2023-01-31 05:00:00,4443
2023-01-31 06:00:00,4315
2023-01-31 07:00:00,4278
2023-01-31 08:00:00,4249
2023-01-31 09:00:00,4289
2023-01-31 10:00:00,4457
2023-01-31 11:00:00,4807
2023-01-31 12:00:00,5335
2023-01-31 13:00:00,5645
2023-01-31 14:00:00,5734
2023-01-31 15:00:00,5671
2023-01-31 16:00:00,5695
2023-01-31 17:00:00,5703
2023-01-31 18:00:00,5685
2023-01-31 19:00:00,5676
2023-01-31 20:00:00,5617
2023-01-31 21:00:00,5609
2023-01-31 22:00:00,5721
2023-01-31 23:00:00,5938
2023-02-01 00:00:00,5974
2023-02-01 01:00:00,5921
2023-02-01 02:00:00,5809
2023-02-01 03:00:00,5596
2023-02-01 04:00:00,5330
2023-02-01 05:00:00,5117
2023-02-01 06:00:00,4977
2023-02-01 07:00:00,4874
2023-02-01 08:00:00,4847
2023-02-01 09:00:00,4889
2023-02-01 10:00:00,5054
2023-02-01 11:00:00,5371
2023-02-01 12:00:00,5876
2023-02-01 13:00:00,6179
2023-02-01 14:00:00,6128
2023-02-01 15:00:00,5968
2023-02-01 16:00:00,5880
2023-02-01 17:00:00,5749
2023-02-01 18:00:00,5607
2023-02-01 19:00:00,5538
2023-02-01 20:00:00,5460
2023-02-01 21:00:00,5474
2023-02-01 22:00:00,5650
2023-02-01 23:00:00,5978
2023-02-02 00:00:00,6126
2023-02-02 01:00:00,6110
2023-02-02 02:00:00,6045
2023-02-02 03:00:00,5864
2023-02-02 04:00:00,5626
2023-02-02 05:00:00,5424
2023-02-02 06:00:00,5327
2023-02-02 07:00:00,5239
2023-02-02 08:00:00,5240
2023-02-02 09:00:00,5270
2023-02-02 10:00:00,5395
2023-02-02 11:00:00,5730
2023-02-02 12:00:00,6281
2023-02-02 13:00:00,6573
2023-02-02 14:00:00,6504
2023-02-02 15:00:00,6250
2023-02-02 16:00:00,5982
2023-02-02 17:00:00,5814
2023-02-02 18:00:00,5646
2023-02-02 19:00:00,5565
2023-02-02 20:00:00,5505
2023-02-02 21:00:00,5524
2023-02-02 22:00:00,5703
2023-02-02 23:00:00,5951
2023-02-03 00:00:00,6051
2023-02-03 01:00:00,6006
2023-02-03 02:00:00,5916
2023-02-03 03:00:00,5733
2023-02-03 04:00:00,5467
2023-02-03 05:00:00,5277
2023-02-03 06:00:00,5130
2023-02-03 07:00:00,4995
2023-02-03 08:00:00,4970
2023-02-03 09:00:00,4988
2023-02-03 10:00:00,5144
2023-02-03 11:00:00,5525
2023-02-03 12:00:00,6170
2023-02-03 13:00:00,6546
2023-02-03 14:00:00,6588
2023-02-03 15:00:00,6512
2023-02-03 16:00:00,6502
2023-02-03 17:00:00,6386
2023-02-03 18:00:00,6360
2023-02-03 19:00:00,6370
2023-02-03 20:00:00,6387
2023-02-03 21:00:00,6456
2023-02-03 22:00:00,6695
2023-02-03 23:00:00,7010
2023-02-04 00:00:00,7143
2023-02-04 01:00:00,7144
2023-02-04 02:00:00,7083
2023-02-04 03:00:00,6971
2023-02-04 04:00:00,6758
2023-02-04 05:00:00,6550
2023-02-04 06:00:00,6376
2023-02-04 07:00:00,6294
2023-02-04 08:00:00,6251
2023-02-04 09:00:00,6241
2023-02-04 10:00:00,6280
2023-02-04 11:00:00,6415
2023-02-04 12:00:00,6609
2023-02-04 13:00:00,6802
2023-02-04 14:00:00,6810
2023-02-04 15:00:00,6722
2023-02-04 16:00:00,6606
2023-02-04 17:00:00,6432
2023-02-04 18:00:00,6262
2023-02-04 19:00:00,6057
2023-02-04 20:00:00,5939
2023-02-04 21:00:00,5896
2023-02-04 22:00:00,6020
2023-02-04 23:00:00,6283
2023-02-05 00:00:00,6378
2023-02-05 01:00:00,6314
2023-02-05 02:00:00,6217
2023-02-05 03:00:00,6067
2023-02-05 04:00:00,5862
2023-02-05 05:00:00,5679
2023-02-05 06:00:00,5538
2023-02-05 07:00:00,5445
2023-02-05 08:00:00,5383
2023-02-05 09:00:00,5341
2023-02-05 10:00:00,5351
2023-02-05 11:00:00,5418
2023-02-05 12:00:00,5561
2023-02-05 13:00:00,5702
2023-02-05 14:00:00,5746
2023-02-05 15:00:00,5690
2023-02-05 16:00:00,5554
2023-02-05 17:00:00,5369
2023-02-05 18:00:00,5224
2023-02-05 19:00:00,5091
2023-02-05 20:00:00,4982
2023-02-05 21:00:00,4982
2023-02-05 22:00:00,5066
